"","","exprtTATwistRas - expras"
"WKZ647rmfEbsf_tNeo","XM_127738","0.392324529633303"
"u0hfUk0pIkcCl.8ees","NM_026894","-0.278334235992977"
"oKujiAJteH4eO_7xuw","NM_026894","-0.860876888349475"
"ZeVIFcSSQNDRNOhXXo","NM_026894","-0.321165191133709"
"BAipJuVRkq6AdSJVKI","NM_026898","-0.381002000755648"
"iVPgt5_xDtA6Dnv.V8","NM_021550","0.153952850258658"
"u0DqqedEq4cIjVFWJc","NM_028047","-0.185632144034246"
"fru_god76MOL_zS.e0","NM_025895","-0.0757961395659468"
"xdW0a46rdqXUbz5qGA","XM_001480443","-0.0422639626965697"
"fUS_5fPtU8C_z10PTQ","XM_001480443","0.138987459485126"
"QGuOq3al1G8_ahgidg","NM_019769","-0.126124173830123"
"0wX37fEs7wOr0eKAnE","NM_025897","-0.126018565423994"
"uepWKt31zdsKAqCD5E","NM_178149","-0.727763722950085"
"uR0Oi69RI6A5cLSCrU","NM_033146","0.272867604713605"
"Kel8uCrUqy6ArfiIqY","NM_028055","0.0391055847245987"
"caIX5V84_Ps_4ylf6k","NM_026889","-0.419209881509826"
"Kn2344R5cK6VSL9ShU","NM_026889","0.360662128161527"
"TUdEXk6cSAEarOynXg","NM_026892","0.546591399831721"
"HURQnSU0nBNROeLkSo","NM_026883","-0.289741234353041"
"6XkSUX__CUf.S7v9f0","NM_026899","-0.138305758287283"
"6AWp.g6JuB14piT6Vg","NM_001081005","-0.5891644717242"
"u64ccUm0844I5pT61U","NM_024283","-0.0516634257200135"
"rIQI2OzwYVYdQAR2Ko","NM_025433","0.568932187330537"
"lJpkfgTo0Iq1a.x.88","NM_025433","0.778917952222857"
"EWDQqie_0Ang7ZDIew","NM_177323","0.0220368029492937"
"HkvXWXo6PdLnjmpTkk","NM_024172","0.311861731379006"
"fV5hvctJaWlWsjZ99E","NM_026616","0.258432838742744"
"TVfrg7Xmz9XsXu5drM","NM_025893","0.0575601102514707"
"3VIlH15gKev7EukLXU","NM_025892","-0.323543020333245"
"ZkkU4cQRMRfXoXgXoU","NM_030087","0.152698441734257"
"HQPSnlElt9KGItF2kc","NM_001083891","0.0077272290475392"
"lar3h0CnSqRuSAuEBg","NM_030087","0.0362281878945012"
"iK0tNtHZJplP_VCWuA","NM_026914","0.375456169150931"
"TaF4RQo5IeHSAFQUCo","NM_026399","0.588825122486148"
"QleVat13qeCzwwCUzg","NM_177132","-0.445060426642785"
"QqXijd7mX155.pBDA4","NM_027207","0.379833457014447"
"TIJ6f3Ol.11HPcEu90","NM_026451","-0.179388558145988"
"fXqgOJT93h.v0Ksgvk","NM_001083882","0.275625819165954"
"lOksU4N9RFUPuDlf6o","NM_025905","0.506619024700281"
"ZQKgk6iWEIjE4ErZK0","NM_025907","-0.591575439281362"
"Bn.4BR4nnJRoJ6L_l4","NM_028166","-0.449847111853358"
"EfWfXecV1TR4oPu2ms","NM_028050","-0.323033997932265"
"rSeUcXns9HTfbQdcV4","NM_030108","-0.126540170337895"
"EdSJNl.NJIekUEvmy8","NM_028975","-0.105225667356404"
"Hrr33gIDQgnOol9Si8","NM_019975","-0.281842886759939"
"iojuWnyHUAq8wB1QLE","NM_028059","-0.147792760173131"
"fkiiO5afIdQCrzAHVA","NM_028059","-0.212932820931695"
"fYmCiJ3SoSMcB3SIeo","XM_001481081","0.552244279899575"
"iX93et.k.fXrWOAk3U","NM_026323","-0.253682601892006"
"HoBqAhQoLj4Rac6TXo","NM_028065","0.0439404207385312"
"QIHXSH6rkCCqSEJoJk","NM_028479","-0.121244311992576"
"fuHsoAIgOLjTXunHJI","NM_029639","-0.0950582764263448"
"u13lbwy_Hevg._tNE0","NM_198006","0.218503490849971"
"013QiZQKahfx9i9Il4","NM_029285","1.19065634832104"
"rRbz.e.XLfMRu6H4Qg","NM_001037841","0.123373577196126"
"QIUR163Hiq25OchCXE","NM_029296","-0.579404224519068"
"3hgzJKQkkoAQMPusXo","XM_001477654","-0.903937756120856"
"KpKCqD9_g0lCFL_AQw","NM_027036","-0.402028149398206"
"WiIdwGeJX68UU4Q56A","NM_029299","-0.269445508466132"
"Np_F5t9CEjvyOB7QYw","NM_028156","-0.463521652271616"
"fq4gVWTQp6gBQjbnn8","NM_029305","-0.174374669121321"
"rbo.7pxE.nuHjpfddU","NM_027041","-0.115588803312383"
"oXQdIeXccUIBK.UIFI","NM_027026","-0.0334310617937819"
"ogfY_OaJQeieNgWgWE","NM_173367","-0.695298612128393"
"01K4QdRSjVTUho3cZE","NM_001024614","0.338710739750447"
"okj_f5J6QvxLo.4iI0","NM_027941","-0.0198557361196059"
"cOmpSSzipNF9ih9tCE","NR_003638","-0.595593684192101"
"TojomaXXSXngY.Ud6A","NM_144820","-0.173079945835172"
"3TD1SdVrzUKIQVI4Fk","NM_001081275","1.22558730610109"
"TE4uj7SheWQqevlDlQ","NM_029309","-0.364025702278444"
"BhJzhaK9xFiN5zpeCU","NM_029309","-0.379812218772864"
"636_of6qHqier_R_i4","NM_029659","0.32123492932488"
"N0eKLfr6h.qoeqJ6v4","NM_029659","-0.0695753679483868"
"6XT0fxWUF7c7XSKqc4","NM_029659","-0.34903039485634"
"uufCAnIZxVKywaRIOU","NM_025956","-0.649906728937842"
"HJ3lXoUHUjRUQIVghI","NM_029291","-0.394328222433905"
"lZXLoosXoG5QfbJw4U","NM_029291","-0.21998330677"
"QtejpKIXsz0gkGApU4","NM_029291","0.000946396954068618"
"9UQlCxx2KRooeIIwjo","NM_029306","-0.315665786840429"
"ueLtQfoqVSlQf9FNI0","NM_027950","0.262662488424342"
"oXh9zvhJPlhd_XlfQo","NM_025954","-0.702060794744888"
"rrq3t7kxEvuCvuK3X4","NM_173426","0.280259636734813"
"ocov1p5X3_7oKR76is","NM_028157","-0.973413882490187"
"uU3oDonwELeUB7oBrs","NM_027954","-0.0567605421597488"
"xqcV0iL3iTXg5Hfot0","NM_027062","-0.595851637295021"
"fq66sRDHnSCqwK1VDc","NR_003639","-0.16094212534556"
